-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
260,Artificial Intelligence (AI) Engineer (Remote),$43K - $77K (Glassdoor est.),"Assist in the development of strategies to foster technical innovation in creating opportunities with partners to own well-placed technical AI/ML tools.…
Skills: Cloud infrastructure, Writing skills, Databases, Machine learning, PostgreSQL",3.2,Institute for Humane Studies,"Arlington, VA",51 to 200 Employees,1961,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD)
261,"Senior Client Data Analyst (PA, NJ, DE)",$65K - $94K (Glassdoor est.),"Works with complex customer-specific data from various sources to support the analysis of claim cost patterns and trends, then provides insights and……
Skills: Microsoft Word, Microsoft Excel, Microsoft Access, iOS, Data analysis skills",3.5,Independence Blue Cross,"Philadelphia, PA",5001 to 10000 Employees,1938,Nonprofit Organization,Insurance Carriers,Insurance,$5 to $10 billion (USD)
262,"Senior Data Scientist, AI Research Team",$130K - $180K (Employer est.),"Utilize a strong foundation in traditional data science techniques, ensuring the appropriate application of tools and methodologies. 10 paid sick days per year.…
Skills: Computer science, Data science, SaaS, AI, Python",3,Kiddom,"San Francisco, CA",51 to 200 Employees,2015,Company - Private,Primary & Secondary Schools,Education,Unknown / Non-Applicable
263,Supply Chain Data Scientist,$118K - $171K (Employer est.),"MS/PhD in a business analytics field (i.e. Industrial Engineering, Management Science, Operations Research, Statistics, Data Science) or MBA with Supply Chain……
Skills: Statistics, Power BI, Microsoft Excel, SQL, Machine learning",4.1,Hewlett Packard,"Spring, TX",10000+ Employees,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
264,Mid-Level AI Engineer,$121K - $162K (Glassdoor est.),"Position Title: Mid-Level AI Engineer Location: Alpharetta, GA(onsite/ only local to GA) Duration: 6……
Skills: AI",4.2,Intone Networks,"Alpharetta, GA",201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
265,"Data Scientist, Generative AI Innovation Center",$126K - $213K (Employer est.),"PhD or Masters degree in computer science, engineering, mathematics, operations research, or in a highly quantitative field.…
Skills: TensorFlow, Data mining, Data structures, AWS, Machine learning",3.7,"Amazon Web Services, Inc.","Herndon, VA",Unknown,2006,Subsidiary or Business Segment,Internet & Web Services,Information Technology,$10+ billion (USD)
266,Sr. Data Scientist,$102K - $143K (Glassdoor est.),"Foundational knowledge of basic concepts and capabilities of programming; ability to use tools, techniques and platforms in order to write and modify……
Skills: Statistics, Power BI, Data mining, Data analysis skills, Caterpillar",4.1,Caterpillar,"Chillicothe, IL",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
267,Sr. Data Scientist,$110K - $141K (Glassdoor est.),"Advanced use of current and emerging technologies to evaluate trends and develop actionable insights and recommendations to management, via understanding of the……
Skills: Statistical software, Azure, Management, Business intelligence, Big data",3.5,Fedex,"Collierville, TN",10000+ Employees,1973,Company - Public,Shipping & Trucking,Transportation & Logistics,$10+ billion (USD)
268,Sr. Data Scientist,$150K - $170K (Employer est.),"We are looking for professionals to analyze large amounts of data to find patterns and solutions that will improve our capabilities to develop go-to market……
Skills: R, SQL, Machine learning, Data visualization, AI",3.5,Hach,"Loveland, CO",1001 to 5000 Employees,1947,Subsidiary or Business Segment,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD)
269,"Data Scientist, Mid",$97K - $220K (Employer est.),"Experience in ML, data science, computer science, or computational engineering. Your consulting skills and technical experience will help your clients navigate……
Skills: Computer science, Kubernetes, Software deployment, R, Java",4.2,Booz Allen,"Alexandria, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
270,AI Operations Coordinator,-1,"Bachelor’s degree in computer science, engineering, or a related field. Work across teams & disciplines to develop & implement AI governance frameworks.…
Skills: Software development, AI, Communication skills",3.8,Brown Brothers Harriman,"Philadelphia, PA",1001 to 5000 Employees,1818,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
271,Sr. Data Scientist,$124K - $207K (Employer est.),"Ability to convey requirements and tell data-led stories to a technical and non-technical audience. They must have strong experience using a variety of data……
Skills: Statistical software, Statistics, MATLAB, Microsoft Excel, Data mining",3.8,McKesson,"Columbus, OH",10000+ Employees,1833,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
272,Equity Quantitative Research | Equity Model Research | Quantitative Researcher,$175K - $300K (Employer est.),"Leverage economic models and financial analysis to define fundamental factors driving the cross-section of stock returns.…
Skills: MATLAB, Pricing, R, Analysis skills, C++",4,Citadel Enterprise Americas,"New York, NY",1001 to 5000 Employees,1990,Company - Private,Investment & Asset Management,Financial Services,$25 to $100 million (USD)
273,Lead Data Scientist,$177K - $265K (Employer est.),"Master’s or Ph.D. in a quantitative field such as statistics, economics, industrial engineering and operations research, applied math, or other relevant……
Skills: Salesforce Marketing Cloud, Salesforce, R, Google Cloud Platform, Java",4.1,Salesforce,"San Francisco, CA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
274,Data Scientist,$69K - $142K (Employer est.),"Regularly employs ingenuity and creativity to develop new technical solutions to solve difficult problems. Coaches, reviews and delegates work to lower level……
Skills: TensorFlow, Statistics, Computer vision, DevOps, Research",4,CACI,"Denver, CO",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD)
275,"Sr Data Scientist, Product Analytics - USDS",$167K - $220K (Glassdoor est.),"Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences. Previous 5 years of full-time experience.…
Skills: Management, Social media management, R, SQL, Analysis skills",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
276,"Staff Data Scientist, Signals",$148K - $304K (Employer est.),"Excellent communication skills and ability to explain learnings to both technical and non-technical partners. Build and prototype analysis pipelines iteratively……
Skills: TensorFlow, Statistics, Management, Data structures, R",4,Pinterest,United States,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
277,Lead Data Scientist,$123K - $176K (Glassdoor est.),"In this role, you will be driving the research and development of the next generation of Hilton's predictive models to a production-ready state and supporting……
Skills: TensorFlow, Pricing, Spark, Data analysis skills, Revenue management",4,Hilton,"McLean, VA",10000+ Employees,1919,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$10+ billion (USD)
278,Sr ML engineers,-1,"Experience with state of the art machine learning framework like tensorflow, pytorch is strongly preferred. Understanding of engineering best practices.…
Skills: TensorFlow, Spark, Apache Hive, Machine learning, Python",4.5,Intellibee,Remote,1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
279,Senior Data Scientist,$104K (Employer est.),"Required Education: Bachelors degree in related field, AND: Share complex ideas verbally and visually in an understandable manner with non technical……
Skills: Statistics, Calculus, Writing skills, Data science, Data visualization",4.1,University of Oklahoma,"Oklahoma City, OK",5001 to 10000 Employees,1890,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
280,"Staff Data Scientist, Growth",$170K - $240K (Employer est.),"You’ll design, implement, monitor and evaluate a wide range of experiments to help us test key hypotheses and learn from our users;…
Skills: Product development, Agile",3.7,Linktree,"San Francisco, CA",51 to 200 Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
281,Scientist - Data Review,$72K - $101K (Glassdoor est.),"Author technical documents, such as protocols, test methods, text reports, certificates of analysis, and operating procedures.…
Skills: CGMP, Organic chemistry, Communication skills",3.1,Catalent,"Morrisville, NC",10000+ Employees,2007,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
282,Staff Data Scientist,$146K - $270K (Employer est.),"Proven leadership skills, such as aligning complex technical decisions across teams, mentoring, coordinating cross-functional relationships with non-technical……
Skills: Statistics, R, Java, SQL, Statistical analysis",3.6,Warner Bros. Discovery,"New York, NY",10000+ Employees,2022,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
283,"Machine Learning Engineer, Motion Planning, Self-Driving",$116K - $360K (Employer est.),"Leverage millions of miles of driving data and interventions to build a robust and scalable end-to-end learning based self-driving system.…
Skills: C++, Machine learning, Deep learning, Natural language processing, Python",3.5,Tesla,"Palo Alto, CA",10000+ Employees,2003,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$1 to $5 billion (USD)
284,Space Data Processing Scientist (Scientist 2/3),$102K - $206K (Employer est.),"Education/Experience at lower level: Position requires a Bachelor' degree in a STEM field from an accredited college and university and 4 years of related……
Skills: Git, SQL, Database administration, C++, C",4,Los Alamos National Laboratory,"Los Alamos, NM",10000+ Employees,1943,Government,National Agencies,Government & Public Administration,$500 million to $1 billion (USD)
285,Statistician,$100K - $110K (Employer est.),"Master's degree in Statistics, Data Science, or related field with 15 semester hours of statistics (or in mathematics and biostatistics/statistics, provided at……
Skills: Microsoft Powerpoint, Statistical software, Statistics, Power BI, SAS",3.8,"Goldbelt, Inc.",Remote,501 to 1000 Employees,1974,Company - Private,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
